D70,Rrup,Mw,Vs30,zh,
10.00265965,82.22826704,5.2,382.2518,142,5
10.0181086,93.41971066,5.2,138.1374,143,5
10.81021739,62.82806882,5.2,89.19601,144,5
16.58126654,103.8973971,5.2,259.5523,145,5
13.14307422,80.94398585,5.2,661.4196,146,5
6.489491506,56.99679904,5.2,156.3224,147,5
8.949323997,71.91668294,5.2,325.5844,148,5
14.60149992,61.50945721,5.2,146.4362,149,5
14.71022094,57.71475985,5.2,120.869,150,5
6.59706753,130.4228628,5.2,399.9957,151,5
9.224207283,142.1005639,5.2,309.6915,152,5
9.020243899,156.8689987,5.2,199.3158,153,5
13.39005228,119.7456679,5.2,353.3482,154,5
10.28182863,115.0984054,5.2,253.6669,155,5
10.20723273,94.44591206,5.2,309.0803,156,5
14.17327767,111.223331,5.2,256.9584,157,5
12.99211299,113.2797267,5.2,523.1513,158,5
10.10431096,70.68653795,5.2,377.0819,159,5
9.59832277,78.89231127,5.2,363.2759,160,5
7.352550578,88.97447336,5.2,421.7628,161,5
12.86495239,81.9604178,5.2,321.4917,162,5
12.87817922,61.76819665,5.2,293.7617,163,5
11.68342416,143.6013319,5.2,430.6437,164,5
11.73175179,106.8725764,5.7,243.39799,165,6
17.45577268,93.54405002,5.7,363.31973,166,6
9.33133431,90.13145549,5.7,206.55794,167,6
23.4978616,97.08912593,5.7,336.31079,168,6
21.20542383,86.66951782,5.7,243.66833,169,6
16.25969557,82.99363226,5.7,248.68715,170,6
10.93901275,85.38230648,5.7,127.1408,171,6
18.39460247,77.51199427,5.7,131.13963,172,6
20.5148629,84.87481287,5.7,245.74942,173,6
21.58724623,77.24717721,5.7,228.96497,174,6
20.27923075,73.77310724,5.7,275.56555,175,6
16.0648685,67.59741254,5.7,290.70941,176,6
9.331489699,72.49397562,5.7,185.37057,177,6
23.41090344,73.54276075,5.7,171.66423,178,6
17.2580416,64.78572101,5.7,166.97049,179,6
14.35908423,67.13756691,5.7,255.86218,180,6
9.17293846,64.13209219,5.7,389.23804,181,6
28.84857709,76.00786646,5.7,144.11224,182,6
12.10888104,66.85064256,5.7,165.19353,183,6
5.864366974,79.3700581,5.7,743.37653,184,6
7.482940598,74.649358,5.7,307.31921,185,6
19.92979679,79.39412704,5.7,215.21594,186,6
11.95391149,163.6568311,5.7,416.52783,187,6
15.38485294,152.5484255,5.7,274.86993,188,6
20.00957771,160.6502464,5.7,274.5092,189,6
10.65992495,151.9677338,5.7,333.0297,190,6
6.6633325,138.2461648,5.7,265.5409,191,6
13.95806219,133.5931197,5.7,522.9963,192,6
19.73242763,130.2332793,5.7,272.6518,193,6
13.61982012,123.0914794,5.7,203.2111,194,6
15.25562191,115.849377,5.7,238.2027,195,6
20.43286568,120.2128744,5.7,246.7284,196,6
10.66498945,118.5254518,5.7,274.122,197,6
14.71652133,110.2786756,5.7,270.7708,198,6
12.93522323,114.6478903,5.7,218.1334,199,6
14.06021337,98.8947575,5.7,281.2124,200,6
19.04640649,99.95031129,5.7,258.5682,201,6
20.69605035,105.7507096,5.7,291.7127,202,6
12.92558703,87.75829796,5.7,136.088,203,6
20.01184149,88.54058192,5.7,119.6667,204,6
10.47205806,84.39401972,5.7,615.7157,205,6
13.22229935,86.63709619,5.7,262.0394,206,6
13.823263,94.48902949,5.7,382.2518,207,6
14.27693945,111.5055055,5.7,343.7977,208,6
15.54035392,105.3185097,5.7,138.1374,209,6
17.83228533,104.1967839,5.7,375.5872,210,6
16.87373106,114.8896433,5.7,473.4697,211,6
16.16529616,117.6003805,5.7,99.70285,212,6
14.30693538,123.4648196,5.7,396.2268,213,6
22.78869018,121.434178,5.7,89.19601,214,6
