D70,r,m,v,,
17.2580416,0.574494292,-0.314285714,-0.219813961,179,6
14.35908423,0.587954613,-0.314285714,0.056352968,180,6
9.17293846,0.570666538,-0.314285714,0.327816172,181,6
28.84857709,0.634797065,-0.314285714,-0.315072859,182,6
12.10888104,0.586337935,-0.314285714,-0.226736799,183,6
5.864366974,0.651135971,-0.314285714,0.746452675,184,6
7.482940598,0.627989275,-0.314285714,0.174920113,185,6
19.92979679,0.651250424,-0.314285714,-0.055581466,186,6
11.95391149,0.924298372,-0.314285714,0.371660406,187,6
15.38485294,0.897765552,-0.314285714,0.102718597,188,6
20.00957771,0.917299123,-0.314285714,0.101868898,189,6
10.65992495,0.896325899,-0.314285714,0.226905614,190,6
6.6633325,0.860604248,-0.314285714,0.080377185,191,6
13.95806219,0.84768047,-0.314285714,0.5189383,192,6
19.73242763,0.838065545,-0.314285714,0.097476041,193,6
13.61982012,0.816775961,-0.314285714,-0.092718812,194,6
15.25562191,0.79388683,-0.314285714,0.010079292,195,6
20.43286568,0.807843431,-0.314285714,0.032832874,196,6
10.66498945,0.802507245,-0.314285714,0.100955605,197,6
14.71652133,0.775284586,-0.314285714,0.092996765,198,6
12.93522323,0.789951519,-0.314285714,-0.046869256,199,6
14.06021337,0.734156681,-0.314285714,0.117478829,200,6
19.04640649,0.738164348,-0.314285714,0.063160088,201,6
20.69605035,0.759458411,-0.314285714,0.141198437,202,6
12.92558703,0.689059417,-0.314285714,-0.352141716,203,6
20.01184149,0.692409378,-0.314285714,-0.435344298,204,6
10.47205806,0.674303835,-0.314285714,0.624540823,205,6
13.22229935,0.684205674,-0.314285714,0.071788494,206,6
13.823263,0.716954053,-0.314285714,0.316097452,207,6
14.27693945,0.779460776,-0.314285714,0.247495256,208,6
15.54035392,0.757912508,-0.314285714,-0.342470476,209,6
17.83228533,0.7538705,-0.314285714,0.304716899,210,6
16.87373106,0.790746653,-0.314285714,0.454567478,211,6
16.16529616,0.799549533,-0.314285714,-0.553437866,212,6
14.30693538,0.817919132,-0.314285714,0.339330534,213,6
22.78869018,0.811659076,-0.314285714,-0.625489904,214,6
20.2395158,0.781018619,-0.314285714,-0.262451064,215,6
10.30557131,0.803344031,-0.314285714,0.212276275,216,6
17.36533904,0.778602814,-0.314285714,-0.304722048,217,6
16.69883229,0.744844356,-0.314285714,-0.428875972,218,6
